
  par_i=3, N_i=64, qfix=3.593260895636937
  par_i=3, N_i=63, qfix=3.5713507682245167
  par_i=3, N_i=62, qfix=3.549440640812096
  par_i=3, N_i=61, qfix=3.5275305133996757
  par_i=3, N_i=60, qfix=3.5056203859872554
  par_i=3, N_i=59, qfix=3.4837102585748347
  par_i=3, N_i=58, qfix=3.4618001311624145
  par_i=3, N_i=57, qfix=3.439890003749994
  par_i=3, N_i=56, qfix=3.417979876337574
  par_i=3, N_i=55, qfix=3.3960697489251537
  par_i=3, N_i=54, qfix=3.3741596215127334
  par_i=3, N_i=53, qfix=3.352249494100313
  par_i=3, N_i=52, qfix=3.330339366687893
  par_i=3, N_i=51, qfix=3.308429239275472
  par_i=3, N_i=50, qfix=3.286519111863052
  par_i=3, N_i=49, qfix=3.2646089844506316
  par_i=3, N_i=48, qfix=3.242698857038211
  par_i=3, N_i=47, qfix=3.2207887296257907
  par_i=3, N_i=46, qfix=3.1988786022133704
  par_i=3, N_i=45, qfix=3.17696847480095
  par_i=3, N_i=44, qfix=3.15505834738853
  par_i=3, N_i=43, qfix=3.1331482199761096
  par_i=3, N_i=42, qfix=3.1112380925636893
  par_i=3, N_i=41, qfix=3.0893279651512686
  par_i=3, N_i=40, qfix=3.0674178377388484
  par_i=3, N_i=39, qfix=3.045507710326428
  par_i=3, N_i=38, qfix=3.023597582914008
  par_i=3, N_i=37, qfix=3.0016874555015876
  par_i=3, N_i=36, qfix=2.979777328089167
  par_i=3, N_i=35, qfix=2.9578672006767466
  par_i=3, N_i=34, qfix=2.9359570732643263
  par_i=3, N_i=33, qfix=2.914046945851906
  par_i=3, N_i=32, qfix=2.892136818439486
  par_i=3, N_i=31, qfix=2.8702266910270655
  par_i=3, N_i=30, qfix=2.8483165636146452
  par_i=3, N_i=29, qfix=2.8264064362022245
  par_i=3, N_i=28, qfix=2.8044963087898043
  par_i=3, N_i=27, qfix=2.782586181377384
  par_i=3, N_i=26, qfix=2.7606760539649637
  par_i=3, N_i=25, qfix=2.738765926552543
  par_i=3, N_i=24, qfix=2.7168557991401228
  par_i=3, N_i=23, qfix=2.6949456717277025
  par_i=3, N_i=22, qfix=2.6730355443152822
  par_i=3, N_i=21, qfix=2.651125416902862
  par_i=3, N_i=20, qfix=2.6292152894904417
  par_i=3, N_i=19, qfix=2.607305162078021
  par_i=3, N_i=18, qfix=2.5853950346656007
  par_i=3, N_i=17, qfix=2.5634849072531805
  par_i=3, N_i=16, qfix=2.54157477984076
  par_i=3, N_i=15, qfix=2.51966465242834
  par_i=3, N_i=14, qfix=2.497754525015919
  par_i=3, N_i=13, qfix=2.475844397603499
  par_i=3, N_i=12, qfix=2.4539342701910787
  par_i=3, N_i=11, qfix=2.4320241427786584
  par_i=3, N_i=10, qfix=2.410114015366238
  par_i=3, N_i=9, qfix=2.388203887953818
  par_i=3, N_i=8, qfix=2.366293760541397
  par_i=3, N_i=7, qfix=2.344383633128977
  par_i=3, N_i=6, qfix=2.3224735057165566
  par_i=3, N_i=5, qfix=2.3005633783041364
  par_i=3, N_i=4, qfix=2.278653250891716
  par_i=3, N_i=3, qfix=2.256743123479296
  par_i=3, N_i=2, qfix=2.234832996066875
  par_i=3, N_i=1, qfix=2.212922868654455
  par_i=3, N_i=0, qfix=2.1910127412420346
Profiling parameter 5 of 15
  par_i=4, N_i=101, qfix=-20.186155033674734
  par_i=4, N_i=102, qfix=-20.084717068681393
  par_i=4, N_i=103, qfix=-19.983279103688055
  par_i=4, N_i=104, qfix=-19.88184113869471
  par_i=4, N_i=105, qfix=-19.780403173701373
  par_i=4, N_i=106, qfix=-19.678965208708032
  par_i=4, N_i=107, qfix=-19.57752724371469
  par_i=4, N_i=108, qfix=-19.476089278721354
  par_i=4, N_i=109, qfix=-19.37465131372801
  par_i=4, N_i=110, qfix=-19.27321334873467
  par_i=4, N_i=111, qfix=-19.17177538374133
